subject,trial,excluded,windowStart,windowEnd
sp004,39,0,743,1072
sp004,40,0,814,1455
sp004,41,0,597,1399
sp004,42,0,660,1529
sp004,43,0,792,1562
sp004,44,0,1057,1736
sp004,45,0,674,1367
sp004,46,0,853,1123
sp004,47,0,633,1272
sp004,48,0,725,1551
sp004,49,0,778,1459
sp004,50,0,760,1459
sp004,51,0,579,1564
sp004,52,0,701,1411
sp004,53,0,707,1574
sp004,54,0,782,1546
sp004,55,0,844,1297
sp004,56,0,847,1234
sp004,57,0,765,1121
sp004,58,0,592,1136
sp004,59,0,753,1237
sp004,60,0,642,1337
sp004,61,0,643,1379
sp004,62,0,728,1454
sp004,63,0,646,1353
sp004,64,0,630,1052
sp004,65,0,607,1254
sp004,66,0,572,1259
sp004,67,0,561,1352
sp004,68,0,661,1436
sp004,69,0,660,1477
sp004,70,0,837,1157
sp004,71,0,647,1109
sp004,72,0,649,1210
sp004,73,0,699,1412
sp004,74,0,632,1615
sp004,75,0,694,1252
sp004,76,0,744,1472
sp004,77,0,724,1409
sp004,78,0,667,1435
sp004,79,0,697,1416
sp004,80,0,571,1283
sp004,81,0,722,1536
sp004,82,0,547,1467
sp004,83,0,711,1542
sp004,84,0,707,1548
sp004,85,0,798,1258
sp004,86,0,773,1502
sp004,87,0,760,1562
sp004,88,0,862,1602
sp004,89,0,755,1849
sp004,90,0,870,1557
sp004,91,0,850,1273
sp004,92,0,622,1389
sp004,93,0,729,1522
sp004,94,0,760,1678
sp004,95,0,637,1410
sp004,96,0,644,1396
sp004,97,0,680,1577
sp004,98,0,759,1552
sp004,99,0,796,1181
sp004,100,0,676,1467
sp004,101,0,636,1463
sp004,102,0,681,1412
sp004,103,0,652,1437
sp004,104,0,639,1473
sp004,105,0,744,1512
sp004,106,0,721,1523
sp004,107,0,687,1508
sp004,108,0,517,1455
sp004,109,0,657,1056
sp004,110,0,740,1443
sp004,111,0,760,1561
sp004,112,0,882,1358
sp004,113,0,654,1499
sp004,114,0,743,1736
sp004,115,0,669,1395
sp004,116,0,716,1499
sp004,117,0,815,1743
sp004,118,0,761,1646
sp004,119,0,698,1497
sp004,120,0,714,1670
sp005,1,0,921,1529
sp005,2,0,1034,1897
sp005,3,0,807,1307
sp005,4,0,837,1379
sp005,5,0,1023,1364
sp005,6,0,909,1279
sp005,7,0,858,1393
sp005,8,0,1004,1413
sp005,9,1,0,0
sp005,10,0,938,1416
sp005,11,0,962,1442
sp005,12,0,910,1390
sp005,13,0,994,1472
sp005,14,0,951,1459
sp005,15,0,890,1356
sp005,16,0,939,1507
sp005,17,0,984,1489
sp005,18,0,902,1412
sp005,19,0,920,1481
sp005,20,0,952,1350
sp005,21,1,0,0
sp005,22,0,938,1427
sp005,23,0,938,1439
sp005,24,0,768,1356
sp005,25,1,0,0
sp005,26,0,985,1656
sp005,27,0,901,1360
sp005,28,0,839,1424
sp005,29,0,891,1403
sp005,30,0,967,1514
sp005,31,0,858,1352
sp005,32,0,1201,1656
sp005,33,0,876,1368
sp005,34,1,0,0
sp005,35,0,962,1462
sp005,36,0,854,1355
sp005,37,0,859,1410
sp005,38,0,918,1394
sp005,39,0,900,1437
sp005,40,0,910,1396
sp005,41,0,905,1381
sp005,42,0,815,1322
sp005,43,0,929,1389
sp005,44,0,906,1447
sp005,45,0,901,1339
sp005,46,0,916,1492
sp005,47,0,921,1388
sp005,48,0,932,1445
sp005,49,1,0,0
sp005,50,0,930,1393
sp005,51,0,1001,1390
sp005,52,0,845,1305
sp005,53,0,802,1374
sp005,54,0,792,1294
sp005,55,0,854,1275
sp005,56,0,916,1366
sp005,57,0,912,1333
sp005,58,0,841,1253
sp005,59,0,893,1370
sp005,60,0,0,0
sp005,61,0,965,1390
sp005,62,0,903,1193
sp005,63,0,904,1332
sp005,64,0,783,1314
sp005,65,1,0,0
sp005,66,1,0,0
sp005,67,0,841,1388
sp005,68,0,912,1584
sp005,69,0,908,1518
sp005,70,0,900,1459
sp005,71,0,888,1357
sp005,72,0,920,1394
sp005,73,0,830,1367
sp005,74,0,658,1134
sp005,75,0,863,1309
sp005,76,0,1272,1444
sp005,77,1,0,0
sp005,78,1,0,0
sp005,79,1,0,0
sp005,80,1,0,0
sp005,81,0,989,1523
sp005,82,0,966,1348
sp005,83,0,924,1437
sp005,84,1,0,0
sp005,85,1,0,0
sp005,86,0,895,1344
sp005,87,0,825,1296
sp005,88,0,839,1319
sp005,89,0,965,1526
sp005,90,0,796,1237
sp005,91,0,894,1369
sp005,92,0,876,1458
sp005,93,0,880,1355
sp005,94,0,923,1566
sp005,95,0,843,1205
sp005,96,0,837,1337
sp005,97,0,769,1294
sp005,98,0,732,1318
sp005,99,0,810,1275
sp005,100,0,869,1358
sp005,101,0,875,1311
sp005,102,0,850,1344
sp005,103,0,809,1321
sp005,104,0,902,1349
sp005,105,0,863,1268
sp005,106,0,969,1544
sp005,107,0,878,1388
sp005,108,1,0,0
sp005,109,1,0,0
sp005,110,0,884,1385
sp005,111,0,822,1324
sp005,112,0,1163,1332
sp005,113,0,826,1423
sp005,114,0,818,1291
sp005,115,1,0,0
sp005,116,0,864,1375
sp005,117,0,938,1620
sp005,118,0,853,1307
sp005,119,0,904,1448
sp005,120,0,868,1088
sp006,1,0,779,1302
sp006,2,1,0,0
sp006,3,0,776,1183
sp006,4,0,828,1295
sp006,5,0,634,1111
sp006,6,0,578,1106
sp006,7,0,706,1255
sp006,8,0,721,1287
sp006,9,0,750,1368
sp006,10,0,740,1256
sp006,11,0,580,1096
sp006,12,0,588,1217
sp006,13,0,743,1253
sp006,14,0,703,1352
sp006,15,0,626,1153
sp006,16,1,0,0
sp006,17,0,542,1090
sp006,18,0,784,1333
sp006,19,0,570,1352
sp006,20,0,537,1118
sp006,21,0,720,1247
sp006,22,0,766,1199
sp006,23,0,639,1263
sp006,24,0,775,1237
sp006,25,1,0,0
sp006,26,1,0,0
sp006,27,0,784,1401
sp006,28,0,790,1314
sp006,29,0,685,1273
sp006,30,0,564,1231
sp006,31,0,633,1269
sp006,32,0,618,1186
sp006,33,0,649,1329
sp006,34,0,727,1391
sp006,35,0,795,1320
sp006,36,0,628,1168
sp006,37,0,778,1233
sp006,38,0,688,1259
sp006,39,0,677,1126
sp006,40,0,801,1369
sp006,41,0,729,1469
sp006,42,0,670,1245
sp006,43,0,795,1506
sp006,44,0,751,1317
sp006,45,0,639,1237
sp006,46,0,765,1341
sp006,47,0,755,1346
sp006,48,0,764,1300
sp006,49,0,788,1287
sp006,50,0,629,1173
sp006,51,0,762,1424
sp006,52,0,842,1474
sp006,53,0,720,1487
sp006,54,0,862,1437
sp006,55,0,907,1498
sp006,56,0,747,1349
sp006,57,0,630,1411
sp006,58,0,667,1302
sp006,59,0,605,1203
